0	0
0	81
0	96
0	123
0	136
0	158
1	1
1	2
1	3
1	15
1	27
1	34
1	40
1	42
1	56
1	58
1	61
1	65
1	75
1	78
1	83
1	85
1	87
1	113
1	117
1	124
1	140
1	157
1	171
1	173
2	2
2	20
2	50
2	54
2	59
2	60
2	62
2	77
2	79
2	86
2	111
2	117
2	159
2	171
3	3
3	15
3	27
3	34
3	40
3	42
3	56
3	58
3	61
3	65
3	75
3	78
3	83
3	85
3	87
3	93
3	113
3	124
3	140
3	141
3	157
3	159
3	173
4	4
4	35
4	38
4	48
4	51
4	63
4	64
4	66
4	107
4	132
4	154
4	165
5	5
5	24
5	47
5	80
5	82
5	133
5	134
5	161
6	6
6	7
6	8
6	9
6	10
6	11
6	12
6	13
6	14
6	100
6	106
6	117
6	143
7	7
7	8
7	9
7	10
7	11
7	12
7	13
7	14
7	28
7	36
7	68
7	121
7	143
7	145
7	166
8	8
8	9
8	10
8	11
8	12
8	13
8	14
8	29
8	69
8	143
9	9
9	10
9	11
9	12
9	13
9	14
9	30
9	70
9	143
9	144
9	152
9	174
10	10
10	11
10	12
10	13
10	14
10	71
10	94
10	143
10	156
11	11
11	12
11	13
11	14
11	122
11	130
11	143
11	154
11	160
12	12
12	13
12	14
12	31
12	72
12	91
12	97
12	98
12	101
12	127
12	143
13	13
13	14
13	32
13	73
13	143
13	177
14	14
14	33
14	74
14	110
14	132
14	143
14	162
14	179
15	15
15	16
15	27
15	34
15	40
15	42
15	56
15	58
15	61
15	65
15	75
15	78
15	83
15	85
15	87
15	113
15	124
15	140
15	155
15	157
15	173
16	16
16	43
16	76
16	84
16	88
16	108
16	155
16	168
17	17
17	21
17	22
17	26
17	57
17	99
17	103
17	118
17	144
18	18
18	23
18	55
18	92
18	99
18	108
18	109
18	137
18	142
18	143
18	169
18	173
19	19
19	142
19	146
19	148
19	163
19	167
20	20
20	50
20	54
20	59
20	60
20	62
20	77
20	79
20	86
20	111
20	116
20	159
20	175
21	21
21	22
21	26
21	57
21	103
21	118
21	137
21	172
22	22
22	26
22	57
22	103
22	113
22	118
23	23
23	55
23	98
23	99
23	109
23	114
23	121
23	137
23	142
23	143
23	169
24	24
24	47
24	80
24	82
24	133
24	161
25	25
25	41
25	95
25	112
25	123
25	126
25	129
25	138
25	164
26	26
26	57
26	103
26	118
26	128
26	138
26	167
27	27
27	34
27	40
27	42
27	56
27	58
27	61
27	65
27	75
27	78
27	83
27	85
